race,state,modeldate,candidate_name,pct_estimate,pct_trend_adjusted,timestamp,contestdate
2020D,Wyoming,4/8/2020,Bernard Sanders,4.01e-07,7.393786,13:37:46  8 Apr 2020,4/17/2020
2020D,Pennsylvania,4/8/2020,Bernard Sanders,16.98857,27.77899,13:37:46  8 Apr 2020,6/2/2020
2020D,Oregon,4/8/2020,Bernard Sanders,26.96627,37.66899,13:37:46  8 Apr 2020,5/19/2020
2020D,Ohio,4/8/2020,Bernard Sanders,24.92998,28.22791,13:37:46  8 Apr 2020,4/28/2020
2020D,New York,4/8/2020,Bernard Sanders,17.28053,28.87974,13:37:46  8 Apr 2020,6/23/2020
2020D,New Mexico,4/8/2020,Bernard Sanders,22.73305,35.84244,13:37:46  8 Apr 2020,6/2/2020
2020D,New Jersey,4/8/2020,Bernard Sanders,19.77978,32.07291,13:37:46  8 Apr 2020,7/7/2020
2020D,National,4/8/2020,Bernard Sanders,31.40975,,13:37:46  8 Apr 2020,
2020D,Montana,4/8/2020,Bernard Sanders,2.000001,11.05915,13:37:46  8 Apr 2020,6/2/2020
2020D,Maryland,4/8/2020,Bernard Sanders,19.85236,26.89685,13:37:46  8 Apr 2020,6/2/2020
2020D,Kansas,4/8/2020,Bernard Sanders,36.27129,34.2995,13:37:46  8 Apr 2020,5/2/2020
2020D,Indiana,4/8/2020,Bernard Sanders,23,39.58121,13:37:46  8 Apr 2020,6/2/2020
2020D,Georgia,4/8/2020,Bernard Sanders,15.04172,25.02872,13:37:46  8 Apr 2020,5/19/2020
2020D,Delaware,4/8/2020,Bernard Sanders,10.19036,22.97645,13:37:46  8 Apr 2020,6/2/2020
2020D,Connecticut,4/8/2020,Bernard Sanders,22.13335,29.07218,13:37:46  8 Apr 2020,6/2/2020
2020D,Wyoming,4/8/2020,Joseph R. Biden Jr.,4.01e-07,11.25753,13:37:46  8 Apr 2020,4/17/2020
2020D,Pennsylvania,4/8/2020,Joseph R. Biden Jr.,31.42671,56.40853,13:37:46  8 Apr 2020,6/2/2020
2020D,Oregon,4/8/2020,Joseph R. Biden Jr.,25.47076,49.85927,13:37:46  8 Apr 2020,5/19/2020
2020D,Ohio,4/8/2020,Joseph R. Biden Jr.,51.48432,59.74206,13:37:46  8 Apr 2020,4/28/2020
2020D,New York,4/8/2020,Joseph R. Biden Jr.,22.76827,50.41992,13:37:46  8 Apr 2020,6/23/2020
2020D,New Mexico,4/8/2020,Joseph R. Biden Jr.,25.51993,51.63073,13:37:46  8 Apr 2020,6/2/2020
2020D,New Jersey,4/8/2020,Joseph R. Biden Jr.,25.0881,53.87667,13:37:46  8 Apr 2020,7/7/2020
2020D,National,4/8/2020,Joseph R. Biden Jr.,52.70379,,13:37:46  8 Apr 2020,
2020D,Montana,4/8/2020,Joseph R. Biden Jr.,15,37.64574,13:37:46  8 Apr 2020,6/2/2020
2020D,Maryland,4/8/2020,Joseph R. Biden Jr.,22.6632,56.42131,13:37:46  8 Apr 2020,6/2/2020
2020D,Kansas,4/8/2020,Joseph R. Biden Jr.,55.33925,58.37881,13:37:46  8 Apr 2020,5/2/2020
2020D,Indiana,4/8/2020,Joseph R. Biden Jr.,33,53.59807,13:37:46  8 Apr 2020,6/2/2020
2020D,Georgia,4/8/2020,Joseph R. Biden Jr.,40.26754,64.3261,13:37:46  8 Apr 2020,5/19/2020
2020D,Delaware,4/8/2020,Joseph R. Biden Jr.,32.20879,60.57447,13:37:46  8 Apr 2020,6/2/2020
2020D,Connecticut,4/8/2020,Joseph R. Biden Jr.,37.95837,59.33234,13:37:46  8 Apr 2020,6/2/2020
2020D,Wyoming,4/7/2020,Bernard Sanders,4.01e-07,7.953122,07:15:13  7 Apr 2020,4/17/2020
2020D,Wisconsin,4/7/2020,Bernard Sanders,29.74206,36.00591,07:15:13  7 Apr 2020,4/7/2020
2020D,Pennsylvania,4/7/2020,Bernard Sanders,16.98009,28.75232,07:15:13  7 Apr 2020,6/2/2020
2020D,Oregon,4/7/2020,Bernard Sanders,26.96546,38.75174,07:15:13  7 Apr 2020,5/19/2020
2020D,Ohio,4/7/2020,Bernard Sanders,24.89616,29.30694,07:15:13  7 Apr 2020,4/28/2020
2020D,New York,4/7/2020,Bernard Sanders,17.28032,29.87494,07:15:13  7 Apr 2020,6/23/2020
2020D,New Mexico,4/7/2020,Bernard Sanders,22.73504,36.91064,07:15:13  7 Apr 2020,6/2/2020
2020D,New Jersey,4/7/2020,Bernard Sanders,19.77891,33.10418,07:15:13  7 Apr 2020,6/2/2020
2020D,National,4/7/2020,Bernard Sanders,32.45761,,07:15:13  7 Apr 2020,
2020D,Montana,4/7/2020,Bernard Sanders,2.000001,11.72201,07:15:13  7 Apr 2020,6/2/2020
2020D,Maryland,4/7/2020,Bernard Sanders,19.85222,27.86711,07:15:13  7 Apr 2020,6/2/2020
2020D,Kansas,4/7/2020,Bernard Sanders,36.26757,35.40454,07:15:13  7 Apr 2020,5/2/2020
2020D,Indiana,4/7/2020,Bernard Sanders,23,40.67505,07:15:13  7 Apr 2020,6/2/2020
