poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
67903,552,Winston,1312,Winning the Issues,The Winston Group,385,The Winston Group,A/B,Online Panel,,,4/27/20,4/28/20,,"",,127126,,rv,d,rv-d,,8/4/20 17:22,"",https://www.winningtheissues.org/wp-content/uploads/2020/08/Winning-the-Issues-April-II-2020-National-Survey.pdf,538,,REP,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Biden,13256,Joe Biden,54.0
67903,552,Winston,1312,Winning the Issues,The Winston Group,385,The Winston Group,A/B,Online Panel,,,4/27/20,4/28/20,,"",,127126,,rv,d,rv-d,,8/4/20 17:22,"",https://www.winningtheissues.org/wp-content/uploads/2020/08/Winning-the-Issues-April-II-2020-National-Survey.pdf,538,,REP,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Sanders,13257,Bernard Sanders,17.0
65938,1102,Emerson,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel,,,4/26/20,4/28/20,,"",,122156,479,lv,d,lv-d,,4/28/20 19:01,"",https://emersonpolling.reportablenews.com/pr/april-national-poll-trump-down-but-not-out-as-enthusiasm-and-expectation-favor-the-president,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Biden,13256,Joe Biden,67.98
65938,1102,Emerson,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel,,,4/26/20,4/28/20,,"",,122156,479,lv,d,lv-d,,4/28/20 19:01,"",https://emersonpolling.reportablenews.com/pr/april-national-poll-trump-down-but-not-out-as-enthusiasm-and-expectation-favor-the-president,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Sanders,13257,Bernard Sanders,23.66
65756,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,4/12/20,4/14/20,,"",,121552,585,lv,d,lv-d,,4/15/20 09:11,"",https://docs.cdn.yougov.com/6fdl23u606/econTabReport.pdf,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Biden,13256,Joe Biden,49.0
65756,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,4/12/20,4/14/20,,"",,121552,585,lv,d,lv-d,,4/15/20 09:11,"",https://docs.cdn.yougov.com/6fdl23u606/econTabReport.pdf,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Sanders,13257,Bernard Sanders,31.0
65691,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,4/5/20,4/7/20,,"",,121390,586,lv,d,lv-d,,4/8/20 10:02,"",https://docs.cdn.yougov.com/ogvntw3mu9/econTabReport.pdf,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Biden,13256,Joe Biden,49.0
65691,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,4/5/20,4/7/20,,"",,121390,586,lv,d,lv-d,,4/8/20 10:02,"",https://docs.cdn.yougov.com/ogvntw3mu9/econTabReport.pdf,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Sanders,13257,Bernard Sanders,28.0
65687,1361,SSRS,143,CNN,SSRS,297,SSRS,C+,Live Phone,,,4/3/20,4/6/20,,"",,121424,462,rv,d,rv-d,,4/9/20 11:03,"",https://cdn.cnn.com/cnn/2020/images/04/09/rel4c.-.2020.pdf,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Biden,13256,Joe Biden,65.0
65687,1361,SSRS,143,CNN,SSRS,297,SSRS,C+,Live Phone,,,4/3/20,4/6/20,,"",,121424,462,rv,d,rv-d,,4/9/20 11:03,"",https://cdn.cnn.com/cnn/2020/images/04/09/rel4c.-.2020.pdf,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Sanders,13257,Bernard Sanders,30.0
65683,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,,3/30/20,4/5/20,,"",,121367,13346,lv,d,lv-d,,4/7/20 06:34,"",https://morningconsult.com/2020-democratic-primary/,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Biden,13256,Joe Biden,61.0
65683,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,,3/30/20,4/5/20,,"",,121367,13346,lv,d,lv-d,,4/7/20 06:34,"",https://morningconsult.com/2020-democratic-primary/,538,,,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Sanders,13257,Bernard Sanders,36.0
67902,552,Winston,1312,Winning the Issues,The Winston Group,385,The Winston Group,A/B,Online Panel,,,4/1/20,4/3/20,,"",,127123,,rv,d,rv-d,,8/4/20 16:59,"",https://www.winningtheissues.org/wp-content/uploads/2020/08/Winning-the-Issues-April-I-2020-National-Survey.pdf,538,,REP,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Biden,13256,Joe Biden,48.0
67902,552,Winston,1312,Winning the Issues,The Winston Group,385,The Winston Group,A/B,Online Panel,,,4/1/20,4/3/20,,"",,127123,,rv,d,rv-d,,8/4/20 16:59,"",https://www.winningtheissues.org/wp-content/uploads/2020/08/Winning-the-Issues-April-I-2020-National-Survey.pdf,538,,REP,6407,2020,U.S. President,0,,,primary,false,false,,DEM,Sanders,13257,Bernard Sanders,27.0
65743,1767,GreatBlue Research,"532,1953",Hartford Courant | Sacred Heart University Institute for Public Policy and Civic Engagement,GreatBlue Research,748,GreatBlue Research,B/C,Live Phone/Online Panel,,Connecticut,3/24/20,4/3/20,,"",,121523,348,rv,d,rv-d,,4/14/20 08:17,"",https://www.sacredheart.edu/media/shu-media/institute-for-public-policy/GreatBlue--Sacred-Heart-University-Pioneer-Poll-Report-April-2020-FINAL.pdf,538,,,7681,2020,U.S. President,0,,8/11/20,primary,false,false,,DEM,Biden,13256,Joe Biden,52.0
